Product ID,Code,Product Name,Image URL,Created Date,CHR File Name,DP URL,Brand,DP Categories,Sub-Folders,Notes,Description,Attributes,Sales Rep,Dealer,Unit of Measure,Budgeted Cost,Actual Cost,Qty,Nested Products
14057520,LL-1,CONNOLLY,https://content.designerpages.com/assets/82414946/KimballConnollysofa.png,2025-12-09 18:40:20 UTC,,http://designerpages.com/manufacturers/national-office-furniutre,National by Kimball International,LOUNGE - LOVESEAT,,Confirm textile quantities and reserve amount needed immediately.,Freestanding two-seat lounge sofa with arms and metal legs.,"Model #: N72LF2NPAM|DIMENSIONS: |Width: 60""|Depth: 30.5""|Height: 32.5""|Seat Width: 52""|Seat Depth: 22""|Seat Height: 17""|Arm Height: 25""|Arm Width: 4""|FEATURES: |Seat & Back: Upholstered seat & back, no accent panel.|Legs/Base: Metal legs with standard powder coat.",,,,,,6,Evolution - Architex Fabrics|Graphite - Kimball International
14057577,LM-1,PASEA,https://content.designerpages.com/assets/82415021/LM1SitOnItPasea.png,2025-12-09 18:40:21 UTC,,http://designerpages.com/manufacturers/sitonit-seating,Sit on It,LOUNGE - MODULAR,,"Refer to drawings for the correct seating layout. 

Confirm textile quantities and reserve amount needed immediately.",Upholstered modular half-circle sofa.,"1.5 Single Seat Model #: (2): PAS FS17 SS2.
|120 Degree Inner Seat Model #: (1): PAS FS17 SS4.|DIMENSIONS: |Overall Width: 102""|Overall Depth: 27""|Overall Height: 31.5""|Seat Height: 17.5""|FEATURES: |Seat and Back: Upholstered seat & back.|Base: Slate base.",,,,,,2,Twill EPU - Momentum Textiles|Silica Etch - Momentum Textiles|Slate - Sit on It
14057571,LO-1,PASEA,https://content.designerpages.com/assets/82415012/SitonItPaseaottoman.png,2025-12-09 18:40:21 UTC,,http://designerpages.com/manufacturers/sitonit-seating,Sit on It,LOUNGE - OTTOMAN,,Confirm textile quantities and reserve amount needed immediately.,Upholstered mini round ottoman.,"Model #: PAS-FS1-OS1-LBC3-TM0|DIMENSIONS: |Width: 24""|Depth: 24""|Height: 17.5""|FEATURES: |Seat and Side: Fully upholstered. |Base: Slate Base.",,,,,,6,Linnen - DesignTex|Gravity - Stinson|Slate - Sit on It
14054307,LO-2,ROK DROP,https://content.designerpages.com/assets/82412606/FomcoreRokDrop.png,2025-12-09 18:59:25 UTC,,http://designerpages.com/manufacturers/fomcore,FOMCORE,LOUNGE - OTTOMAN,,Confirm textile quantities and reserve amount needed immediately.,Upholstered ottoman with fully zippered base.,"Model #: F166-18x18-Z|DIMENSIONS: |Seat Diameter: 16""|Overall Diameter: 18""|Seat Height: 18""|FEATURES: |Seat: Upholstered|Side: Upholstered",,,,,,10,Sorano-Seville - DesignTex|Sorano-Honey - DesignTex
13890806,LO-3,PONDER,https://content.designerpages.com/assets/82412692/KeilhauerPonderfootstool.png,2025-12-09 18:40:22 UTC,,http://designerpages.com/manufacturers/keilhauer,Keilhauer,LOUNGE - OTTOMAN,,Confirm textile quantities and reserve amount needed immediately.,Upholstered ottoman,"Model #: 68773|DIMENSIONS: |Width: 24.5""|Depth: 16.5""|Height: 16.25""|Seat Height: 16""|FEATURES: |Seat: Upholstered.|Legs/Base: Metal base.
Include glides for hard floor.",,,,,,2,Omega - Arc-Com|Warm Grey - Keilhauer
14054237,MB-1,GROUPWORK ,https://content.designerpages.com/assets/82415039/SteelcaseGroupworkMB.jpg,2025-12-09 18:40:22 UTC,,http://designerpages.com/manufacturers/steelcase,Steelcase,MARKERBOARD,,,Mobile whiteboard screen.,"Model #: TS4S4866|DIMENSIONS: |Width: 48""|Depth: 16""|Height: 66""|FEATURES: |Screen: Ceramic steel surface on both side - White High Gloss. Include marker trays. |Base: 4-leg painted metal base with casters. ",,,,,,8,Sterling Metallic - Steelcase
14060856,SH-18-1,COMMERCIAL WIRE SHELVING,https://content.designerpages.com/assets/82431944/SH181SafcoIndustrialShelf.png,2025-12-09 18:40:23 UTC,,http://designerpages.com/manufacturers/safco-products,Safco Products,SHELVING,,,A box beam steel shelving system with double-sided compression clips. ,"Model #: 6269|DIMENSIONS: |Width: 36""|Depth: 18""|Height: 75""|FEATURES: |Shelves: 6 steel shelves with 1"" incremental height adjustment. Include corner brackets and hat channel. |Feet: Include glides for hard floors. ",,,,,,8,
14054239,SH-24-1,Generic,,2025-12-09 18:40:23 UTC,,http://designerpages.com/manufacturers/tbd,TBD,SHELVING,,,,,,,,,,131,
14054240,SH-24-2,Generic,,2025-12-09 18:40:24 UTC,,http://designerpages.com/manufacturers/tbd,TBD,SHELVING,,,,,,,,,,30,
14054241,SH-48-1,Generic,,2025-12-09 18:40:24 UTC,,http://designerpages.com/manufacturers/tbd,TBD,SHELVING,,,,,,,,,,2,
14054242,SH-48-2,Generic,,2025-12-09 18:40:24 UTC,,http://designerpages.com/manufacturers/tbd,TBD,SHELVING,,,,,,,,,,1,
14060113,SH-D1.36,DURECON METAL,https://content.designerpages.com/assets/82426519/Palmieri3highdoubleDureconMetalShelving.png,2025-12-16 21:44:14 UTC,,http://designerpages.com/manufacturers/palmieri-furniture,Palmieri Furniture,SHELVING,,Include all hardware as required.,"3 high, mobile, standard double face wood bookcase with metal shelving on concealed casters. ","Model #: DM-4220-S-36|DIMENSIONS: |Width: 37.25""|Depth: 19.5""|Height: 42""|Shelf Depth: 9.5""|FEATURES: |Case: Wood veneer. |Shelves: Flat Standard painted metal shelves.|Number of Shelves: 4 adjustable shelves. |Number of Openings: 6|Base: Standard wood kickplate - finish to match the case.",,,,,,5,Castle Oak on Oak - Palmieri Furniture|Charcoal - Palmieri Furniture
14060114,SH-D2.24,DURECON METAL,https://content.designerpages.com/assets/82426522/Palmieri3highdoubleDureconMetalShelving.png,2025-12-16 21:44:15 UTC,,http://designerpages.com/manufacturers/palmieri-furniture,Palmieri Furniture,SHELVING,,Include all hardware as required.,"3 high, mobile, standard double face wood bookcase with metal shelving on concealed casters. ","Model #: DM-4224-S-24|DIMENSIONS: |Width: 25.25""|Depth: 23.5""|Height: 42""|Shelf Depth: 11.5""|FEATURES: |Case: Wood veneer. |Shelves: Flat Standard painted metal shelves.|Number of Shelves: 4 adjustable shelves. |Number of Openings: 6|Base: Standard wood kickplate with metal mobile bottom frame - finish to match the case.",,,,,,14,Castle Oak on Oak - Palmieri Furniture|Charcoal - Palmieri Furniture
14070183,SH-D2.36,DURECON METAL,https://content.designerpages.com/assets/82461985/Palmieri3highdoubleDureconMetalShelving.png,2025-12-16 21:44:15 UTC,,http://designerpages.com/manufacturers/palmieri-furniture,Palmieri Furniture,SHELVING,,Include all hardware as required.,"3 high, mobile, standard double face wood bookcase with metal shelving on concealed casters. ","Model #: DM-4224-S-36|DIMENSIONS: |Width: 37.25""|Depth: 23.5""|Height: 42""|Shelf Depth: 11.5""|FEATURES: |Case: Wood veneer. |Shelves: Flat Standard painted metal shelves.|Number of Shelves: 4 adjustable shelves. |Number of Openings: 6|Base: Standard wood kickplate with metal mobile bottom frame - finish to match the case.",,,,,,16,Castle Oak on Oak - Palmieri Furniture|Charcoal - Palmieri Furniture
14056172,SHH-24-1,Generic,,2025-12-16 21:44:16 UTC,,http://designerpages.com/manufacturers/tbd,TBD,SHELVING,,,,,,,,,,2,
14056173,SHH-24-2,Generic,,2025-12-16 21:44:16 UTC,,http://designerpages.com/manufacturers/tbd,TBD,SHELVING,,,,,,,,,,2,
14056810,SH-P,0,,2025-12-17 20:29:14 UTC,,http://designerpages.com/manufacturers/southwest-solutions-group_una,Southwest Solutions Group_UNA,SHELVING,,,,,,,,,,4,
